matric_number,entry_mode_code,socio_band_code,prior_cgpa,ca_mean,ca_variance,momentum,attendance_rate,clicks_total,duration_total_min,resource_breadth,submission_timeliness,engagement_index,forum_posts_count,login_frequency,is_at_risk
MAT-2024-0243,1,1,3.97,76.33,18.67,-2.9,89.52,254,436.55,6,-21.45,139.21,6,17,0
MAT-2024-0244,0,1,3.17,64.67,2.89,-1.31,55.35,249,647.04,1,-0.18,124.54,4,23,0
MAT-2024-0245,1,1,4.0,81.33,5.47,0.97,92.73,218,758.3,10,-35.87,125.29,5,21,0
MAT-2024-0246,2,1,3.38,65.78,14.16,-0.28,59.39,267,792.0,2,16.46,133.16,2,15,0
MAT-2024-0247,1,2,1.29,32.67,16.66,0.5,85.74,275,781.14,6,12.45,146.1,6,22,1
MAT-2024-0248,2,2,3.2,58.81,8.81,-0.53,46.72,213,410.19,6,3.28,105.69,5,14,1
MAT-2024-0249,1,1,3.38,79.89,14.44,-0.35,63.06,239,689.66,5,36.79,122.82,9,20,0
MAT-2024-0250,0,0,3.33,60.44,13.35,-0.34,65.49,259,532.12,1,10.87,132.6,1,21,0
MAT-2024-0251,1,1,2.79,47.9,12.51,-0.5,50.9,246,596.64,12,2.8,119.36,2,25,1
MAT-2024-0252,1,2,3.24,57.56,9.01,-0.87,67.01,247,740.2,6,-20.95,127.4,3,12,0
MAT-2024-0253,2,2,2.81,59.89,8.47,0.75,56.19,256,710.89,8,37.94,126.28,6,30,1
MAT-2024-0254,2,0,2.11,44.83,16.8,-1.53,75.39,255,616.85,5,43.03,134.16,6,15,1
MAT-2024-0255,0,1,3.67,73.44,0.5,-0.54,32.24,249,491.31,13,-1.47,112.9,5,17,0
MAT-2024-0256,1,0,2.28,26.56,17.68,-0.48,63.93,234,518.47,7,32.91,120.77,4,19,1
MAT-2024-0257,0,1,3.15,71.79,16.21,2.68,57.53,249,862.87,12,-4.47,123.21,5,14,1
MAT-2024-0258,0,1,2.64,55.0,10.24,0.05,42.56,257,477.22,4,-27.46,122.02,3,13,1
MAT-2024-0259,0,2,2.01,39.33,0.0,-0.53,72.64,214,598.27,9,-9.29,115.86,6,21,1
MAT-2024-0260,2,1,2.03,50.33,0.81,-0.36,36.59,239,559.42,10,-18.42,111.24,2,27,1
MAT-2024-0261,0,0,3.38,60.89,24.04,-0.2,39.24,259,703.75,2,-8.32,121.9,4,23,1
MAT-2024-0262,2,1,2.39,54.33,11.53,-1.08,90.11,263,719.42,10,-21.09,142.24,5,25,0
MAT-2024-0263,1,1,3.27,67.33,3.88,0.68,55.56,239,698.35,6,-10.74,119.62,5,18,0
MAT-2024-0264,0,1,1.85,33.41,34.63,-0.51,93.98,241,464.55,4,28.38,136.19,6,18,1
MAT-2024-0265,0,0,3.21,60.67,0.0,1.5,39.88,245,813.72,10,-14.57,114.95,7,19,1
MAT-2024-0266,1,0,2.88,53.38,11.46,0.52,55.52,245,631.6,10,-24.78,121.21,3,21,0
MAT-2024-0267,0,1,2.39,50.26,8.59,0.37,78.53,281,432.46,3,-78.07,146.21,5,14,0
MAT-2024-0268,2,0,1.79,33.17,12.85,1.8,83.64,248,774.17,7,-49.71,134.26,6,18,1
MAT-2024-0269,0,0,3.5,76.0,18.45,-0.91,62.98,260,402.7,13,45.75,129.59,3,23,0
MAT-2024-0270,0,2,2.46,44.0,0.0,-0.82,87.03,254,624.9,9,-24.93,137.61,2,20,0
MAT-2024-0271,0,1,3.7,71.17,0.3,-0.37,74.73,222,763.43,2,28.01,121.29,7,20,0
MAT-2024-0272,0,1,3.32,65.64,11.18,1.21,77.92,253,523.51,8,-30.14,133.77,7,22,0
MAT-2024-0273,0,2,1.83,31.79,4.28,-0.5,66.27,232,532.16,2,30.4,121.91,4,19,1
MAT-2024-0274,0,1,2.49,58.33,0.0,0.45,76.29,260,756.13,6,4.51,136.32,6,18,0
MAT-2024-0275,2,1,1.31,30.17,2.49,-0.7,31.37,259,839.94,13,-9.59,116.55,3,31,1
MAT-2024-0276,0,0,2.03,43.6,26.77,0.55,34.57,259,878.0,8,26.04,118.83,7,13,1
MAT-2024-0277,1,2,2.98,66.0,0.0,0.26,85.57,227,484.19,11,-26.15,125.83,4,25,0
MAT-2024-0278,0,2,2.81,50.94,7.95,1.0,76.03,248,449.75,6,19.19,131.41,5,33,0
MAT-2024-0279,0,1,2.0,40.33,13.1,0.53,56.15,253,525.33,7,-9.15,125.26,9,18,1
MAT-2024-0280,0,2,3.07,56.33,2.78,-0.18,62.19,249,753.37,5,-45.8,126.48,4,28,0
MAT-2024-0281,0,1,3.07,62.0,6.12,-1.46,28.48,250,426.11,12,3.76,111.99,3,21,1
MAT-2024-0282,2,0,3.58,75.54,22.45,0.37,42.66,248,417.2,12,41.74,116.86,7,30,0
MAT-2024-0283,2,0,2.06,35.78,7.58,-0.0,45.06,272,781.5,3,-25.78,129.22,2,15,1
MAT-2024-0284,1,0,2.81,62.06,16.96,0.13,37.24,250,626.61,14,14.09,115.1,6,17,0
MAT-2024-0285,1,1,1.95,44.53,14.17,-2.78,81.41,240,712.36,12,-14.09,129.16,3,13,1
MAT-2024-0286,0,0,2.51,51.57,14.14,0.57,86.84,239,555.15,7,-8.59,131.94,4,18,1
MAT-2024-0287,0,0,1.67,31.67,24.02,-1.12,69.59,263,572.81,7,-6.89,134.64,2,16,1
MAT-2024-0288,1,1,3.61,71.39,24.9,-0.67,83.15,283,709.24,5,14.6,148.46,3,12,0
MAT-2024-0289,0,1,3.25,59.73,3.66,0.8,42.88,268,843.76,11,-17.23,125.15,6,28,0
MAT-2024-0290,0,1,4.0,79.62,14.67,0.95,78.46,242,399.35,7,-11.97,129.78,3,18,0
MAT-2024-0291,2,1,1.87,45.33,12.96,0.66,51.21,269,461.76,13,-14.68,128.48,6,19,1
MAT-2024-0292,2,2,2.44,47.78,11.07,0.01,41.38,255,517.44,11,-32.84,119.35,1,21,1
MAT-2024-0293,0,1,2.3,42.87,2.79,1.61,14.19,262,727.02,11,32.21,111.28,9,22,1
MAT-2024-0294,2,1,3.5,68.44,32.12,0.58,62.07,228,388.18,11,-27.59,116.83,5,23,0
MAT-2024-0295,1,1,2.4,46.43,6.94,0.09,75.76,241,819.69,2,3.02,129.3,8,28,0
MAT-2024-0296,2,0,2.98,66.29,10.74,0.86,57.34,256,794.86,3,-28.52,127.74,5,13,0
MAT-2024-0297,0,1,4.0,80.94,8.62,1.74,32.74,248,815.95,1,7.59,115.1,7,21,0
MAT-2024-0298,0,1,3.2,76.22,18.42,0.84,18.56,267,499.48,2,-0.29,116.82,5,27,0
MAT-2024-0299,1,1,2.02,36.67,5.95,-0.85,45.76,247,426.79,1,33.06,119.9,8,25,1
MAT-2024-0300,0,2,1.97,36.13,24.98,-1.14,60.29,252,379.9,3,15.79,127.32,2,27,1
MAT-2024-0301,0,0,3.41,76.21,13.5,-0.08,31.52,259,753.14,5,-0.94,118.21,3,20,1
MAT-2024-0302,0,1,2.6,52.37,10.64,0.68,67.49,258,503.05,14,-22.28,130.4,2,12,0
MAT-2024-0303,2,1,3.67,80.42,16.33,-0.46,75.88,230,681.62,1,-36.19,125.15,9,22,0
MAT-2024-0304,2,1,2.33,48.08,3.06,0.77,64.68,233,673.5,11,-23.06,119.87,8,26,1
MAT-2024-0305,0,2,3.17,68.25,10.15,-0.88,46.35,222,641.72,14,9.79,107.54,2,23,1
MAT-2024-0306,0,2,3.18,70.0,12.53,0.6,78.03,252,643.37,3,-27.22,134.41,4,20,0
MAT-2024-0307,0,0,3.52,71.17,9.16,0.2,29.05,245,748.32,11,18.92,110.42,3,28,0
MAT-2024-0308,1,2,3.16,59.33,17.84,-0.8,65.2,231,756.55,6,-7.75,120.28,7,23,0
MAT-2024-0309,1,2,2.54,50.22,46.36,-0.35,52.7,239,412.15,8,-10.4,118.08,1,19,1
MAT-2024-0310,1,0,2.99,60.1,10.37,-0.79,44.18,252,468.44,14,-36.75,118.67,3,23,1
MAT-2024-0311,0,1,3.35,68.78,30.94,-0.95,66.95,248,418.85,5,32.0,127.98,4,21,1
MAT-2024-0312,1,0,2.22,40.83,16.17,-1.27,31.09,250,815.86,4,-30.91,114.64,4,20,1
MAT-2024-0313,0,0,1.73,30.97,15.84,0.03,28.43,250,495.95,13,1.04,111.77,5,16,1
MAT-2024-0314,2,1,3.42,59.38,20.06,-0.06,96.54,259,861.65,10,-1.06,143.22,2,17,0
MAT-2024-0315,0,1,2.56,53.33,0.0,1.5,31.94,238,604.26,10,18.91,108.98,7,11,1
MAT-2024-0316,0,1,2.63,53.0,32.3,2.53,87.57,248,499.2,1,-49.27,137.03,8,23,1
MAT-2024-0317,0,0,1.97,36.87,14.45,-0.29,63.31,236,434.1,11,-9.35,120.52,4,21,1
MAT-2024-0318,0,1,3.02,62.0,5.76,0.89,52.35,245,575.84,12,42.63,119.54,6,28,1
MAT-2024-0319,0,1,2.29,46.83,7.69,-1.23,79.4,246,597.71,8,-21.67,131.56,3,13,1
MAT-2024-0320,1,0,2.66,56.67,5.54,-0.53,32.38,238,364.49,9,19.44,109.35,9,20,1
MAT-2024-0321,0,1,2.29,51.3,6.97,-0.23,27.22,216,696.83,6,-42.13,99.09,5,21,1
MAT-2024-0322,2,1,1.84,35.81,23.96,0.73,68.36,236,528.61,4,30.56,123.94,3,23,1
MAT-2024-0323,2,1,3.13,56.33,22.05,0.56,48.01,229,559.47,10,-40.34,111.8,7,13,0
MAT-2024-0324,0,1,2.45,43.87,12.61,0.59,49.77,262,742.46,4,12.7,126.91,0,18,1
MAT-2024-0325,0,0,3.08,56.78,20.4,0.25,61.05,245,669.36,3,28.1,124.82,6,25,0
MAT-2024-0326,0,1,1.64,31.4,15.34,1.26,64.9,242,369.81,6,13.55,124.56,7,17,1
MAT-2024-0327,0,0,3.11,66.52,5.87,0.91,40.9,257,840.33,3,-20.76,121.56,7,17,0
MAT-2024-0328,0,0,3.09,63.06,15.06,0.98,35.47,250,681.16,14,50.39,114.39,2,22,1
MAT-2024-0329,0,1,1.7,29.88,28.36,-1.48,95.38,248,513.29,11,-32.9,138.15,4,22,1
MAT-2024-0330,2,0,3.28,64.93,18.1,-0.16,86.31,219,454.63,8,-4.14,123.52,8,19,0
MAT-2024-0331,0,2,3.3,76.83,18.79,0.76,90.37,248,441.4,9,-22.82,136.55,7,19,0
MAT-2024-0332,0,2,2.17,41.58,10.27,-0.27,85.76,269,921.04,8,-12.91,143.3,3,14,1
MAT-2024-0333,2,1,3.13,56.56,18.06,0.09,61.46,260,490.74,12,-34.97,129.18,5,19,0
MAT-2024-0334,0,0,1.75,21.5,18.92,0.08,84.94,280,938.64,12,6.06,146.58,2,21,1
MAT-2024-0335,2,0,3.61,64.85,20.51,1.11,94.15,278,477.6,9,-35.56,150.06,4,21,0
MAT-2024-0336,1,1,1.97,40.47,12.34,-0.26,79.09,252,776.24,13,-38.81,132.84,2,16,1
MAT-2024-0337,0,1,3.04,59.57,6.42,0.79,49.65,253,736.13,1,-12.22,123.86,7,12,0
MAT-2024-0338,0,0,1.0,30.33,2.01,-0.44,94.49,275,668.13,3,42.04,150.2,3,25,1
MAT-2024-0339,0,1,3.64,72.17,11.4,-0.44,44.89,245,561.25,2,-27.53,118.56,6,25,0
MAT-2024-0340,0,1,1.88,39.7,13.13,0.9,60.52,243,733.65,6,-44.36,123.21,12,16,1
MAT-2024-0341,0,1,4.0,76.56,8.1,-1.88,30.13,230,545.3,1,-0.36,106.85,5,21,0
MAT-2024-0342,1,2,1.36,12.0,0.0,0.11,68.5,262,708.13,14,-20.74,132.4,6,21,1
MAT-2024-0343,0,1,3.59,76.93,25.83,0.46,66.21,216,508.83,1,19.15,115.68,0,31,0
MAT-2024-0344,1,2,2.02,40.5,29.05,-0.03,96.94,257,579.89,14,-10.29,141.78,4,25,1
MAT-2024-0345,2,1,3.37,65.96,7.92,2.58,48.95,265,809.19,3,-5.3,127.98,3,18,0
MAT-2024-0346,1,0,1.81,39.92,1.04,-0.23,69.49,258,519.31,9,-27.96,132.2,5,17,1
MAT-2024-0347,2,2,1.68,39.57,25.38,0.72,68.09,262,532.15,1,-11.79,134.84,5,18,1
MAT-2024-0348,2,1,1.0,22.0,12.9,1.85,84.93,246,495.15,8,19.18,133.77,2,21,1
MAT-2024-0349,0,1,2.5,49.0,20.71,-0.17,82.16,247,855.63,14,42.47,131.86,4,29,1
MAT-2024-0350,2,0,3.67,67.08,8.05,1.01,89.2,233,519.2,5,-32.15,130.88,6,20,0
MAT-2024-0351,1,0,2.63,48.67,9.06,-0.94,60.77,240,381.63,14,-19.94,120.51,3,24,1
MAT-2024-0352,0,1,4.0,87.0,15.21,-0.26,43.3,241,744.29,10,-47.45,114.72,5,20,0
MAT-2024-0353,0,1,2.75,54.67,20.91,0.66,71.54,241,735.82,11,4.48,125.82,7,19,1
MAT-2024-0354,0,2,3.07,55.17,4.6,-1.69,54.29,249,608.24,10,64.96,122.32,3,20,0
MAT-2024-0355,0,1,3.66,72.67,20.95,0.52,86.64,261,826.61,3,-16.79,141.46,4,17,0
MAT-2024-0356,0,2,2.65,51.0,32.49,-0.41,22.08,257,597.16,12,10.06,112.23,5,17,1
MAT-2024-0357,1,1,2.43,47.52,22.4,1.06,63.33,243,841.6,12,-1.02,123.13,3,29,1
MAT-2024-0358,0,1,3.14,79.17,0.9,-0.63,50.7,261,594.76,11,18.72,125.48,10,16,0
MAT-2024-0359,0,2,1.98,46.4,8.06,1.28,96.81,285,927.34,3,19.95,155.12,5,26,0
MAT-2024-0360,0,2,2.9,56.67,8.52,-0.45,73.66,283,600.62,5,12.38,144.66,3,14,0
MAT-2024-0361,1,2,3.56,48.67,0.0,0.96,67.42,225,488.13,6,7.68,118.77,7,21,1
MAT-2024-0362,0,0,2.66,36.33,15.23,0.24,54.19,249,640.74,8,21.15,122.68,7,24,1
MAT-2024-0363,0,1,3.18,47.67,0.0,0.58,69.11,279,839.12,5,34.44,141.24,5,19,0
MAT-2024-0364,1,2,1.9,34.81,14.53,0.28,63.67,231,353.07,7,-10.16,119.47,5,12,1
MAT-2024-0365,2,0,3.07,57.86,23.54,-1.24,74.76,244,499.57,9,42.33,128.7,5,15,1
MAT-2024-0366,1,0,3.4,68.22,4.39,-2.05,94.42,276,540.04,12,-24.28,148.77,4,19,0
MAT-2024-0367,0,1,2.57,48.78,2.06,0.13,40.86,255,702.64,3,-39.77,120.74,2,21,1
MAT-2024-0368,0,1,1.57,44.67,0.0,-1.14,72.16,254,880.4,1,7.39,133.26,4,27,1
MAT-2024-0369,0,1,2.01,42.83,13.47,0.16,70.25,266,538.64,3,15.65,136.9,3,20,1
MAT-2024-0370,2,0,3.03,53.58,13.43,-0.81,41.68,240,834.08,14,31.89,112.87,2,29,1
MAT-2024-0371,1,1,3.13,72.42,12.79,0.35,47.76,267,873.93,13,0.93,126.3,9,14,0
MAT-2024-0372,1,1,1.31,24.63,3.55,-0.61,68.92,230,432.75,3,2.97,121.97,5,23,1
MAT-2024-0373,0,0,2.71,56.67,11.12,0.5,83.44,252,606.09,2,9.16,136.78,7,13,0
MAT-2024-0374,0,1,3.52,64.17,9.31,1.84,29.08,244,527.03,9,40.47,110.43,10,19,0
MAT-2024-0375,1,2,2.6,50.3,1.64,0.59,60.76,242,378.55,7,-2.76,122.7,6,20,1
MAT-2024-0376,0,2,3.06,61.17,12.09,-0.14,71.86,253,745.3,13,-16.32,130.34,4,17,0
MAT-2024-0377,1,1,1.64,32.67,11.7,1.38,51.77,259,500.51,2,-21.08,126.91,5,14,1
MAT-2024-0378,0,0,3.79,70.81,23.55,0.12,72.76,263,511.67,5,-48.01,136.3,3,10,0
MAT-2024-0379,0,1,2.73,56.12,15.93,1.48,0.34,237,764.59,11,-18.86,95.74,8,16,1
MAT-2024-0380,0,2,3.68,69.0,2.39,-0.17,57.63,219,379.11,13,-26.76,111.05,5,12,0
MAT-2024-0381,1,0,3.11,68.61,2.47,0.01,97.17,238,595.45,2,-9.77,136.67,2,25,0
MAT-2024-0382,0,2,3.86,76.33,0.0,-0.16,63.02,272,947.78,2,-29.07,136.61,3,26,0
MAT-2024-0383,1,0,2.58,52.76,7.88,-0.83,61.99,248,648.25,7,9.2,125.6,7,16,1
MAT-2024-0384,0,1,2.11,41.87,28.39,-0.25,16.32,260,557.61,3,35.15,112.93,4,27,1
MAT-2024-0385,2,1,2.75,57.92,11.8,-0.25,49.94,270,646.65,3,-18.24,130.38,6,21,0
MAT-2024-0386,1,1,2.3,52.08,27.46,-0.13,40.51,245,545.68,7,-36.88,115.8,8,24,1
MAT-2024-0387,0,2,2.34,48.67,14.33,-0.86,69.1,229,454.95,6,-1.38,121.04,7,15,1
MAT-2024-0388,0,2,2.4,51.29,12.21,0.3,71.19,245,673.47,9,7.42,127.68,4,14,1
MAT-2024-0389,0,1,4.0,74.21,13.15,-2.8,72.87,251,578.31,3,18.58,131.95,2,28,0
MAT-2024-0390,0,2,3.3,74.33,0.0,-0.48,41.72,240,361.98,8,6.72,114.09,11,15,0
MAT-2024-0391,1,1,3.55,65.5,4.77,0.23,60.18,212,376.18,1,-12.38,111.67,4,17,0
MAT-2024-0392,0,1,3.88,72.26,9.66,1.43,22.74,226,772.93,13,-14.73,99.9,4,12,0
MAT-2024-0393,2,1,2.49,50.03,4.21,-0.24,46.98,266,670.39,14,9.9,125.39,7,16,1
MAT-2024-0394,0,0,3.9,76.44,20.92,1.2,48.98,266,546.77,2,22.66,128.59,5,21,0
MAT-2024-0395,0,0,2.84,68.89,27.42,0.9,44.27,261,621.83,13,10.82,122.51,3,17,1
MAT-2024-0396,0,1,3.83,68.11,11.8,-0.4,48.94,271,763.89,5,-4.11,129.98,11,24,0
MAT-2024-0397,1,2,2.12,44.74,19.06,-0.6,21.41,268,421.08,13,11.28,116.16,4,16,1
MAT-2024-0398,0,0,2.87,74.83,2.1,-0.18,27.53,237,646.55,6,-33.82,107.61,5,22,0
MAT-2024-0399,1,1,2.58,44.33,0.0,0.12,70.44,255,603.73,7,-9.11,131.78,2,27,0
MAT-2024-0400,0,2,2.8,60.74,14.07,-0.03,96.12,248,538.71,1,13.88,140.45,4,13,0
MAT-2024-0401,0,2,3.02,66.63,13.67,1.3,40.05,264,416.8,2,-11.77,124.22,6,25,0
MAT-2024-0402,2,1,3.29,58.0,9.36,-0.66,78.27,273,945.61,1,22.07,143.31,5,17,0
MAT-2024-0403,2,2,2.23,37.67,13.01,-0.35,74.0,275,943.85,5,-3.06,141.6,5,27,1
MAT-2024-0404,1,2,2.27,42.63,14.42,1.36,49.44,238,612.67,4,-26.2,117.18,6,18,1
MAT-2024-0405,0,0,2.57,53.92,12.89,0.77,51.81,248,780.7,4,9.6,122.12,7,23,1
MAT-2024-0406,0,0,2.92,59.64,8.67,0.5,92.69,272,545.14,12,-24.3,146.48,5,17,0
MAT-2024-0407,1,0,2.43,48.22,7.03,-0.54,32.82,264,525.26,6,-31.86,120.53,6,19,1
MAT-2024-0408,0,1,1.99,45.7,13.41,-2.03,47.31,240,754.24,12,-23.32,115.52,6,12,1
MAT-2024-0409,0,0,3.58,59.0,0.0,-1.39,67.43,273,909.36,12,-28.78,136.77,2,17,0
MAT-2024-0410,0,1,3.11,63.06,10.29,1.14,69.39,251,696.47,11,24.22,128.96,8,22,0
MAT-2024-0411,0,1,2.23,40.95,8.38,-0.37,62.78,237,540.78,10,-2.15,120.91,7,14,1
MAT-2024-0412,0,1,4.0,84.0,5.72,1.35,73.05,254,526.75,10,42.61,131.82,9,19,0
MAT-2024-0413,0,1,3.02,57.5,5.86,-1.8,32.71,255,716.56,13,4.59,115.48,4,16,0
MAT-2024-0414,0,1,3.07,60.03,8.21,1.06,36.73,259,518.34,13,-0.88,118.69,5,24,1
MAT-2024-0415,0,0,2.01,41.24,9.23,-0.67,55.6,267,563.94,11,27.27,129.84,7,24,1
MAT-2024-0416,0,1,1.35,26.83,3.52,0.64,53.4,251,743.06,5,29.09,123.76,8,21,1
MAT-2024-0417,0,1,1.93,37.78,0.54,2.01,66.09,265,919.03,3,-14.0,134.84,6,23,1
MAT-2024-0418,0,1,2.51,50.0,27.98,-0.6,42.09,226,568.27,3,-4.28,109.64,5,21,1
MAT-2024-0419,1,2,3.23,59.0,1.03,-1.11,44.91,245,500.15,10,9.88,116.96,8,22,1
MAT-2024-0420,0,1,2.61,51.8,20.61,-0.66,74.55,253,868.05,11,47.99,131.82,7,12,1
MAT-2024-0421,0,2,2.06,40.71,8.63,1.45,77.33,228,569.92,12,5.14,122.73,9,18,1
MAT-2024-0422,2,1,2.26,45.11,9.51,-1.04,61.22,234,365.66,5,21.3,120.09,3,23,1
MAT-2024-0423,0,1,3.15,57.5,7.02,-1.04,66.36,228,400.87,5,12.67,119.74,4,20,0
MAT-2024-0424,0,1,2.26,48.92,3.34,0.26,55.33,256,660.51,4,13.7,126.73,6,9,1
MAT-2024-0425,0,0,2.1,31.11,4.03,0.1,27.37,247,841.56,8,-20.46,111.15,4,22,1
MAT-2024-0426,2,1,2.2,39.0,15.1,-1.78,73.17,237,397.03,12,-19.07,124.67,5,17,1
MAT-2024-0427,0,1,3.06,62.8,6.37,0.24,74.4,270,474.13,2,-20.52,140.36,2,19,0
MAT-2024-0428,0,0,3.32,66.67,18.18,-0.89,50.23,252,481.83,7,61.75,122.49,1,21,0
MAT-2024-0429,0,0,4.0,78.38,14.3,-1.47,61.97,263,418.29,5,-19.49,131.99,3,22,0
MAT-2024-0430,0,1,2.71,63.29,17.92,0.48,61.71,256,876.09,14,-1.52,127.28,8,21,0
MAT-2024-0431,1,2,2.74,60.78,37.17,0.22,70.37,233,781.25,6,-0.32,123.15,6,14,0
MAT-2024-0432,0,1,3.17,58.76,13.0,-0.32,52.6,281,427.1,14,-35.03,133.64,6,23,0
MAT-2024-0433,0,0,2.32,42.4,9.33,1.22,75.8,233,681.38,7,4.64,125.12,5,18,0
MAT-2024-0434,1,2,3.91,81.2,4.25,0.89,69.62,237,689.22,14,-46.52,122.85,4,15,0
MAT-2024-0435,2,1,2.89,58.67,23.04,-1.56,82.57,242,451.42,7,-15.66,131.43,2,17,0
MAT-2024-0436,0,0,2.95,59.33,12.31,-1.42,51.65,273,812.2,10,-6.0,130.86,4,22,1
MAT-2024-0437,0,2,2.86,52.54,15.33,-1.58,85.86,242,793.27,13,9.4,131.54,7,21,0
MAT-2024-0438,1,2,4.0,83.83,7.6,0.16,60.93,240,492.85,11,45.21,121.17,6,29,0
MAT-2024-0439,0,1,2.73,53.67,11.23,1.21,57.47,233,737.6,7,32.47,117.79,4,17,1
MAT-2024-0440,0,1,2.72,36.33,19.36,1.93,85.38,270,465.1,14,7.42,142.35,5,17,1
MAT-2024-0441,1,1,3.8,76.26,15.92,0.85,93.09,238,552.8,3,58.29,134.84,6,19,0
MAT-2024-0442,2,2,3.01,58.52,9.36,0.51,60.6,254,541.6,12,-25.23,126.44,6,20,1
MAT-2024-0443,1,1,3.15,56.83,3.06,0.45,64.24,233,460.0,12,7.53,119.5,4,14,0
MAT-2024-0444,0,1,2.33,45.67,8.77,-1.37,33.71,258,411.94,12,5.69,117.28,3,22,1
MAT-2024-0445,1,1,4.0,87.28,16.18,0.8,67.38,258,511.7,10,16.29,131.15,6,15,0
MAT-2024-0446,0,1,1.68,30.93,9.17,1.25,81.61,249,399.52,7,35.43,133.84,6,24,1
MAT-2024-0447,1,0,2.84,55.18,9.73,0.37,47.97,234,611.62,11,-6.89,113.59,4,22,1
MAT-2024-0448,2,1,3.52,61.33,1.42,-0.24,26.26,258,716.4,6,15.15,115.5,5,16,1
MAT-2024-0449,0,1,3.5,61.11,3.84,-0.01,73.62,263,693.38,4,-0.5,136.85,4,13,0
MAT-2024-0450,0,2,2.31,45.48,12.96,0.89,29.89,245,515.47,11,7.09,110.76,7,14,1
MAT-2024-0451,2,2,3.91,61.0,0.0,0.06,16.61,247,421.29,3,19.09,107.84,1,18,1
MAT-2024-0452,1,2,2.37,48.67,22.91,-0.51,91.9,267,577.41,13,-15.48,143.96,7,20,1
MAT-2024-0453,1,2,3.36,39.0,11.56,-0.75,61.4,235,711.77,1,14.11,121.36,5,17,0
MAT-2024-0454,0,0,4.0,85.44,10.58,2.01,85.42,235,403.51,9,-2.44,129.37,6,16,0
MAT-2024-0455,0,0,3.03,67.04,9.46,-0.21,69.06,237,392.52,8,-25.93,123.82,3,23,0
MAT-2024-0456,2,1,2.42,45.47,30.15,1.22,72.75,226,385.84,8,39.39,120.9,3,17,1
MAT-2024-0457,0,0,1.92,36.58,12.47,1.47,37.25,276,840.43,10,-40.14,126.3,6,15,1
MAT-2024-0458,0,1,1.92,28.93,39.04,-1.6,73.12,280,775.36,5,37.38,143.25,10,32,1
MAT-2024-0459,1,0,2.07,37.96,7.29,0.68,38.46,262,403.42,1,-13.17,122.98,3,14,1
MAT-2024-0460,0,1,2.76,61.33,0.0,-1.73,48.7,256,538.99,11,-23.17,122.68,4,18,0
MAT-2024-0461,2,0,1.98,46.33,26.69,1.19,67.61,247,718.68,14,-18.98,126.04,3,26,1
MAT-2024-0462,0,0,4.0,81.59,8.45,0.31,45.57,245,807.23,2,24.77,118.83,5,26,0
MAT-2024-0463,0,0,2.51,44.77,25.18,-0.72,56.78,272,849.7,10,-31.11,132.51,3,31,1
MAT-2024-0464,2,2,2.26,52.33,11.43,1.11,63.51,241,728.9,10,-42.98,122.8,7,24,0
MAT-2024-0465,0,1,3.71,76.38,7.71,0.68,45.8,233,439.41,7,75.73,113.12,4,14,0
MAT-2024-0466,1,1,3.16,66.62,11.37,-1.01,60.12,265,866.77,12,-68.27,130.65,4,23,0
MAT-2024-0467,0,2,2.72,59.2,15.72,0.13,34.79,274,949.46,11,-30.84,124.32,3,18,1
MAT-2024-0468,0,2,2.58,58.23,3.16,0.81,54.0,254,456.76,8,21.93,124.6,8,24,1
MAT-2024-0469,0,1,1.85,37.87,10.82,-0.64,80.14,252,795.17,3,47.85,135.26,4,21,1
MAT-2024-0470,2,2,3.11,67.83,11.63,-1.29,89.72,243,799.01,8,-5.68,134.49,5,26,0
MAT-2024-0471,0,1,2.51,54.58,10.59,0.16,71.71,276,472.12,5,-8.21,141.08,4,23,1
MAT-2024-0472,1,1,2.35,44.07,9.56,0.18,75.9,245,610.01,3,6.19,130.76,4,18,0
MAT-2024-0473,0,1,2.09,52.08,15.3,1.78,88.04,257,628.58,6,7.69,139.82,10,14,1
MAT-2024-0474,0,2,1.35,28.25,14.92,1.32,85.2,272,593.83,6,-29.81,144.68,2,14,1
MAT-2024-0475,0,0,3.56,72.56,6.76,0.63,76.72,241,369.77,1,13.29,129.89,10,18,0
MAT-2024-0476,0,2,3.09,57.79,17.31,1.6,68.93,256,777.43,2,21.31,132.57,7,18,1
MAT-2024-0477,1,0,2.6,38.62,14.28,-0.34,49.22,256,834.75,13,13.68,122.49,3,23,1
MAT-2024-0478,1,0,2.33,47.33,7.84,-0.97,86.61,252,838.76,1,-34.37,138.24,9,18,1
MAT-2024-0479,1,0,2.34,43.58,4.83,1.42,42.9,238,795.14,14,-22.78,112.56,5,24,1
MAT-2024-0480,1,1,2.89,56.55,13.08,0.9,68.09,254,774.62,6,1.45,130.64,5,20,1
MAT-2024-0481,2,1,3.49,70.0,11.02,0.31,90.34,245,511.36,2,0.4,136.74,1,17,0
MAT-2024-0482,0,0,2.54,65.11,9.24,0.51,82.69,263,572.6,8,42.3,139.68,7,21,1
MAT-2024-0483,1,1,3.35,62.76,15.29,-0.86,74.5,228,432.9,13,-10.02,121.4,3,25,1
MAT-2024-0484,0,1,3.46,68.17,9.68,-0.12,62.81,203,409.07,7,15.51,107.92,5,28,0
MAT-2024-0485,0,0,3.83,72.89,6.41,-1.93,77.25,249,435.46,6,25.16,132.3,6,19,0
