matric_number,course_code,course_title,ca_score_30
MAT-2024-0243,CHM 102,Practical Chemistry I,13.7
MAT-2024-0243,GST 102,Nigerian Peoples and Culture,23.2
MAT-2024-0243,BIO 101,General Biology I,28.1
MAT-2024-0243,GST 101,Use of English,20.2
MAT-2024-0243,MAT 102,General Mathematics II,22.3
MAT-2024-0243,ENG 101,Engineering Mechanics,23.1
MAT-2024-0244,CHM 101,General Chemistry I,21.1
MAT-2024-0244,GST 102,Nigerian Peoples and Culture,17.7
MAT-2024-0245,CHM 102,Practical Chemistry I,26.8
MAT-2024-0245,STA 101,Introductory Statistics,22.6
MAT-2024-0245,CSC 101,Introduction to Computer Science,23.2
MAT-2024-0245,GST 102,Nigerian Peoples and Culture,22.8
MAT-2024-0245,PHY 101,General Physics I,22.4
MAT-2024-0245,ENG 101,Engineering Mechanics,29.0
MAT-2024-0245,CHM 101,General Chemistry I,24.0
MAT-2024-0246,MAT 101,General Mathematics I,15.7
MAT-2024-0246,STA 101,Introductory Statistics,14.1
MAT-2024-0246,CHM 101,General Chemistry I,21.3
MAT-2024-0246,CSC 101,Introduction to Computer Science,25.3
MAT-2024-0246,GST 101,Use of English,21.4
MAT-2024-0246,CSC 102,Introduction to Problem Solving,20.6
MAT-2024-0247,GST 101,Use of English,11.8
MAT-2024-0247,MAT 102,General Mathematics II,12.6
MAT-2024-0247,CSC 101,Introduction to Computer Science,8.1
MAT-2024-0247,CHM 102,Practical Chemistry I,3.6
MAT-2024-0247,PHY 101,General Physics I,4.4
MAT-2024-0247,CHM 101,General Chemistry I,14.8
MAT-2024-0247,ENG 101,Engineering Mechanics,8.4
MAT-2024-0247,MAT 101,General Mathematics I,14.7
MAT-2024-0248,MAT 102,General Mathematics II,15.2
MAT-2024-0248,GST 102,Nigerian Peoples and Culture,20.2
MAT-2024-0248,CSC 102,Introduction to Problem Solving,17.4
MAT-2024-0248,MAT 101,General Mathematics I,24.5
MAT-2024-0248,STA 101,Introductory Statistics,14.7
MAT-2024-0248,CSC 101,Introduction to Computer Science,15.2
MAT-2024-0248,CHM 101,General Chemistry I,17.8
MAT-2024-0248,GST 101,Use of English,15.5
MAT-2024-0248,PHY 101,General Physics I,18.3
MAT-2024-0249,CSC 101,Introduction to Computer Science,24.2
MAT-2024-0249,CSC 102,Introduction to Problem Solving,19.2
MAT-2024-0249,PHY 102,Practical Physics I,28.5
MAT-2024-0250,CSC 102,Introduction to Problem Solving,23.3
MAT-2024-0250,BIO 101,General Biology I,15.5
MAT-2024-0250,MAT 101,General Mathematics I,15.6
MAT-2024-0251,STA 101,Introductory Statistics,15.9
MAT-2024-0251,CHM 102,Practical Chemistry I,14.0
MAT-2024-0251,GST 101,Use of English,9.2
MAT-2024-0251,BIO 101,General Biology I,19.2
MAT-2024-0251,CHM 101,General Chemistry I,10.2
MAT-2024-0251,PHY 102,Practical Physics I,13.6
MAT-2024-0251,PHY 101,General Physics I,18.5
MAT-2024-0252,GST 101,Use of English,15.0
MAT-2024-0252,CHM 101,General Chemistry I,20.2
MAT-2024-0252,BIO 101,General Biology I,16.5
MAT-2024-0252,MAT 102,General Mathematics II,21.5
MAT-2024-0252,STA 101,Introductory Statistics,16.5
MAT-2024-0252,CHM 102,Practical Chemistry I,18.1
MAT-2024-0252,PHY 102,Practical Physics I,12.0
MAT-2024-0252,CSC 101,Introduction to Computer Science,14.7
MAT-2024-0252,ENG 101,Engineering Mechanics,20.9
MAT-2024-0253,GST 102,Nigerian Peoples and Culture,18.3
MAT-2024-0253,ENG 101,Engineering Mechanics,18.9
MAT-2024-0253,CSC 101,Introduction to Computer Science,18.6
MAT-2024-0253,GST 101,Use of English,11.5
MAT-2024-0253,CHM 102,Practical Chemistry I,21.8
MAT-2024-0253,CHM 101,General Chemistry I,21.4
MAT-2024-0253,MAT 101,General Mathematics I,16.5
MAT-2024-0253,STA 101,Introductory Statistics,18.7
MAT-2024-0253,PHY 102,Practical Physics I,16.0
MAT-2024-0254,GST 102,Nigerian Peoples and Culture,14.9
MAT-2024-0254,PHY 101,General Physics I,16.0
MAT-2024-0254,MAT 102,General Mathematics II,10.1
MAT-2024-0254,CSC 102,Introduction to Problem Solving,20.5
MAT-2024-0254,CHM 101,General Chemistry I,10.5
MAT-2024-0254,PHY 102,Practical Physics I,8.7
MAT-2024-0255,CHM 101,General Chemistry I,22.8
MAT-2024-0255,BIO 101,General Biology I,21.1
MAT-2024-0255,GST 102,Nigerian Peoples and Culture,22.2
MAT-2024-0256,ENG 101,Engineering Mechanics,2.8
MAT-2024-0256,PHY 101,General Physics I,13.1
MAT-2024-0256,GST 101,Use of English,8.0
MAT-2024-0257,STA 101,Introductory Statistics,17.4
MAT-2024-0257,MAT 101,General Mathematics I,19.8
MAT-2024-0257,ENG 101,Engineering Mechanics,30.0
MAT-2024-0257,CSC 102,Introduction to Problem Solving,21.1
MAT-2024-0257,CHM 102,Practical Chemistry I,25.9
MAT-2024-0257,MAT 102,General Mathematics II,18.7
MAT-2024-0257,PHY 101,General Physics I,21.1
MAT-2024-0257,GST 101,Use of English,18.3
MAT-2024-0258,STA 101,Introductory Statistics,19.7
MAT-2024-0258,GST 101,Use of English,13.3
MAT-2024-0259,STA 101,Introductory Statistics,11.8
MAT-2024-0260,CSC 102,Introduction to Problem Solving,16.0
MAT-2024-0260,CHM 102,Practical Chemistry I,14.2
MAT-2024-0261,MAT 102,General Mathematics II,17.8
MAT-2024-0261,CSC 101,Introduction to Computer Science,25.8
MAT-2024-0261,CSC 102,Introduction to Problem Solving,22.8
MAT-2024-0261,MAT 101,General Mathematics I,12.8
MAT-2024-0261,CHM 101,General Chemistry I,18.2
MAT-2024-0261,BIO 101,General Biology I,12.2
MAT-2024-0262,MAT 102,General Mathematics II,19.5
MAT-2024-0262,CSC 102,Introduction to Problem Solving,11.6
MAT-2024-0262,BIO 101,General Biology I,17.8
MAT-2024-0263,PHY 102,Practical Physics I,21.0
MAT-2024-0263,MAT 101,General Mathematics I,20.7
MAT-2024-0263,PHY 101,General Physics I,21.3
MAT-2024-0263,CSC 102,Introduction to Problem Solving,21.7
MAT-2024-0263,CHM 101,General Chemistry I,22.9
MAT-2024-0263,GST 101,Use of English,17.2
MAT-2024-0263,ENG 101,Engineering Mechanics,17.0
MAT-2024-0263,CHM 102,Practical Chemistry I,19.8
MAT-2024-0264,CSC 102,Introduction to Problem Solving,14.0
MAT-2024-0264,PHY 102,Practical Physics I,2.8
MAT-2024-0264,GST 102,Nigerian Peoples and Culture,10.2
MAT-2024-0264,ENG 101,Engineering Mechanics,19.7
MAT-2024-0264,PHY 101,General Physics I,4.9
MAT-2024-0264,CHM 101,General Chemistry I,3.2
MAT-2024-0264,CHM 102,Practical Chemistry I,5.1
MAT-2024-0264,CSC 101,Introduction to Computer Science,14.7
MAT-2024-0264,MAT 101,General Mathematics I,15.6
MAT-2024-0265,GST 101,Use of English,18.2
MAT-2024-0266,CHM 102,Practical Chemistry I,12.1
MAT-2024-0266,PHY 102,Practical Physics I,20.8
MAT-2024-0266,BIO 101,General Biology I,11.5
MAT-2024-0266,PHY 101,General Physics I,18.6
MAT-2024-0266,CSC 102,Introduction to Problem Solving,14.0
MAT-2024-0266,MAT 102,General Mathematics II,15.8
MAT-2024-0266,CHM 101,General Chemistry I,19.3
MAT-2024-0267,MAT 101,General Mathematics I,19.3
MAT-2024-0267,CHM 102,Practical Chemistry I,17.4
MAT-2024-0267,GST 102,Nigerian Peoples and Culture,9.7
MAT-2024-0267,PHY 102,Practical Physics I,14.7
MAT-2024-0267,GST 101,Use of English,14.1
MAT-2024-0267,CSC 101,Introduction to Computer Science,15.6
MAT-2024-0267,BIO 101,General Biology I,11.9
MAT-2024-0267,CSC 102,Introduction to Problem Solving,18.7
MAT-2024-0267,MAT 102,General Mathematics II,14.3
MAT-2024-0268,STA 101,Introductory Statistics,11.2
MAT-2024-0268,GST 101,Use of English,5.8
MAT-2024-0268,PHY 102,Practical Physics I,5.9
MAT-2024-0268,ENG 101,Engineering Mechanics,7.9
MAT-2024-0268,CSC 101,Introduction to Computer Science,12.2
MAT-2024-0268,PHY 101,General Physics I,8.0
MAT-2024-0268,CHM 101,General Chemistry I,5.9
MAT-2024-0268,GST 102,Nigerian Peoples and Culture,12.6
MAT-2024-0268,MAT 101,General Mathematics I,16.7
MAT-2024-0268,CHM 102,Practical Chemistry I,13.3
MAT-2024-0269,BIO 101,General Biology I,23.8
MAT-2024-0269,MAT 101,General Mathematics I,30.0
MAT-2024-0269,CHM 102,Practical Chemistry I,20.1
MAT-2024-0269,ENG 101,Engineering Mechanics,15.4
MAT-2024-0269,STA 101,Introductory Statistics,22.6
MAT-2024-0269,CHM 101,General Chemistry I,26.3
MAT-2024-0269,GST 102,Nigerian Peoples and Culture,21.4
MAT-2024-0270,STA 101,Introductory Statistics,13.2
MAT-2024-0271,STA 101,Introductory Statistics,20.8
MAT-2024-0271,GST 101,Use of English,21.9
MAT-2024-0272,CHM 102,Practical Chemistry I,22.5
MAT-2024-0272,PHY 101,General Physics I,20.1
MAT-2024-0272,PHY 102,Practical Physics I,20.0
MAT-2024-0272,STA 101,Introductory Statistics,23.7
MAT-2024-0272,CSC 101,Introduction to Computer Science,21.4
MAT-2024-0272,MAT 101,General Mathematics I,17.1
MAT-2024-0272,GST 102,Nigerian Peoples and Culture,19.1
MAT-2024-0272,CHM 101,General Chemistry I,22.1
MAT-2024-0272,ENG 101,Engineering Mechanics,11.8
MAT-2024-0272,CSC 102,Introduction to Problem Solving,16.2
MAT-2024-0272,MAT 102,General Mathematics II,22.6
MAT-2024-0273,CSC 102,Introduction to Problem Solving,11.9
MAT-2024-0273,BIO 101,General Biology I,6.4
MAT-2024-0273,CHM 102,Practical Chemistry I,7.1
MAT-2024-0273,CSC 101,Introduction to Computer Science,8.4
MAT-2024-0273,PHY 102,Practical Physics I,11.2
MAT-2024-0273,PHY 101,General Physics I,12.5
MAT-2024-0273,STA 101,Introductory Statistics,9.3
MAT-2024-0273,GST 101,Use of English,9.5
MAT-2024-0274,CHM 101,General Chemistry I,17.5
MAT-2024-0275,MAT 101,General Mathematics I,9.1
MAT-2024-0275,GST 101,Use of English,6.5
MAT-2024-0275,MAT 102,General Mathematics II,10.7
MAT-2024-0275,STA 101,Introductory Statistics,9.9
MAT-2024-0276,GST 102,Nigerian Peoples and Culture,19.4
MAT-2024-0276,ENG 101,Engineering Mechanics,8.8
MAT-2024-0276,MAT 102,General Mathematics II,9.5
MAT-2024-0276,BIO 101,General Biology I,8.3
MAT-2024-0276,CHM 101,General Chemistry I,19.4
MAT-2024-0277,MAT 102,General Mathematics II,19.8
MAT-2024-0278,GST 101,Use of English,17.4
MAT-2024-0278,CHM 101,General Chemistry I,14.8
MAT-2024-0278,STA 101,Introductory Statistics,13.2
MAT-2024-0278,MAT 101,General Mathematics I,9.8
MAT-2024-0278,CHM 102,Practical Chemistry I,14.1
MAT-2024-0278,CSC 102,Introduction to Problem Solving,18.8
MAT-2024-0278,PHY 102,Practical Physics I,14.0
MAT-2024-0278,CSC 101,Introduction to Computer Science,15.9
MAT-2024-0278,MAT 102,General Mathematics II,18.7
MAT-2024-0278,BIO 101,General Biology I,18.9
MAT-2024-0278,GST 102,Nigerian Peoples and Culture,12.5
MAT-2024-0279,ENG 101,Engineering Mechanics,13.0
MAT-2024-0279,STA 101,Introductory Statistics,9.8
MAT-2024-0279,CSC 101,Introduction to Computer Science,8.6
MAT-2024-0279,BIO 101,General Biology I,16.2
MAT-2024-0279,PHY 102,Practical Physics I,14.1
MAT-2024-0279,CSC 102,Introduction to Problem Solving,5.2
MAT-2024-0279,MAT 102,General Mathematics II,15.9
MAT-2024-0279,CHM 101,General Chemistry I,14.0
MAT-2024-0280,MAT 102,General Mathematics II,19.2
MAT-2024-0280,PHY 101,General Physics I,16.4
MAT-2024-0280,ENG 101,Engineering Mechanics,16.5
MAT-2024-0280,CSC 102,Introduction to Problem Solving,14.3
MAT-2024-0280,CHM 102,Practical Chemistry I,18.1
MAT-2024-0281,CSC 101,Introduction to Computer Science,18.4
MAT-2024-0281,GST 102,Nigerian Peoples and Culture,18.0
MAT-2024-0281,CHM 101,General Chemistry I,21.2
MAT-2024-0281,STA 101,Introductory Statistics,20.6
MAT-2024-0281,PHY 101,General Physics I,18.3
MAT-2024-0281,CSC 102,Introduction to Problem Solving,22.6
MAT-2024-0281,MAT 102,General Mathematics II,15.7
MAT-2024-0281,PHY 102,Practical Physics I,19.3
MAT-2024-0281,ENG 101,Engineering Mechanics,13.6
MAT-2024-0281,CHM 102,Practical Chemistry I,18.3
MAT-2024-0282,PHY 102,Practical Physics I,26.3
MAT-2024-0282,CSC 102,Introduction to Problem Solving,15.0
MAT-2024-0282,ENG 101,Engineering Mechanics,18.7
MAT-2024-0282,CSC 101,Introduction to Computer Science,23.6
MAT-2024-0282,BIO 101,General Biology I,23.7
MAT-2024-0282,STA 101,Introductory Statistics,30.0
MAT-2024-0282,GST 101,Use of English,17.8
MAT-2024-0282,MAT 101,General Mathematics I,26.2
MAT-2024-0283,PHY 102,Practical Physics I,14.3
MAT-2024-0283,ENG 101,Engineering Mechanics,8.3
MAT-2024-0283,CHM 101,General Chemistry I,12.6
MAT-2024-0283,MAT 101,General Mathematics I,6.3
MAT-2024-0283,PHY 101,General Physics I,10.3
MAT-2024-0283,CSC 102,Introduction to Problem Solving,12.6
MAT-2024-0284,GST 102,Nigerian Peoples and Culture,15.6
MAT-2024-0284,CSC 102,Introduction to Problem Solving,18.6
MAT-2024-0284,CHM 102,Practical Chemistry I,17.3
MAT-2024-0284,CSC 101,Introduction to Computer Science,13.7
MAT-2024-0284,MAT 101,General Mathematics I,26.7
MAT-2024-0284,PHY 102,Practical Physics I,19.8
MAT-2024-0285,CHM 102,Practical Chemistry I,15.9
MAT-2024-0285,BIO 101,General Biology I,15.5
MAT-2024-0285,MAT 101,General Mathematics I,17.7
MAT-2024-0285,CSC 101,Introduction to Computer Science,16.2
MAT-2024-0285,PHY 101,General Physics I,14.2
MAT-2024-0285,GST 101,Use of English,7.1
MAT-2024-0285,ENG 101,Engineering Mechanics,7.1
MAT-2024-0285,STA 101,Introductory Statistics,10.7
MAT-2024-0285,PHY 102,Practical Physics I,11.9
MAT-2024-0285,CHM 101,General Chemistry I,17.3
MAT-2024-0286,PHY 102,Practical Physics I,17.2
MAT-2024-0286,MAT 101,General Mathematics I,10.7
MAT-2024-0286,MAT 102,General Mathematics II,12.5
MAT-2024-0286,CSC 101,Introduction to Computer Science,13.5
MAT-2024-0286,BIO 101,General Biology I,15.0
MAT-2024-0286,STA 101,Introductory Statistics,16.2
MAT-2024-0286,CHM 102,Practical Chemistry I,23.2
MAT-2024-0287,MAT 102,General Mathematics II,1.3
MAT-2024-0287,PHY 101,General Physics I,9.7
MAT-2024-0287,PHY 102,Practical Physics I,9.8
MAT-2024-0287,CSC 101,Introduction to Computer Science,11.0
MAT-2024-0287,GST 102,Nigerian Peoples and Culture,9.7
MAT-2024-0287,STA 101,Introductory Statistics,19.3
MAT-2024-0287,GST 101,Use of English,10.7
MAT-2024-0287,CHM 102,Practical Chemistry I,4.5
MAT-2024-0288,CHM 101,General Chemistry I,26.9
MAT-2024-0288,GST 101,Use of English,25.5
MAT-2024-0288,PHY 101,General Physics I,14.5
MAT-2024-0288,MAT 101,General Mathematics I,26.0
MAT-2024-0288,CSC 101,Introduction to Computer Science,14.3
MAT-2024-0288,BIO 101,General Biology I,25.3
MAT-2024-0288,MAT 102,General Mathematics II,20.2
MAT-2024-0288,CSC 102,Introduction to Problem Solving,24.5
MAT-2024-0288,ENG 101,Engineering Mechanics,16.3
MAT-2024-0288,PHY 102,Practical Physics I,26.3
MAT-2024-0288,CHM 102,Practical Chemistry I,15.8
MAT-2024-0289,CSC 102,Introduction to Problem Solving,19.7
MAT-2024-0289,BIO 101,General Biology I,16.6
MAT-2024-0289,GST 101,Use of English,14.8
MAT-2024-0289,PHY 102,Practical Physics I,19.5
MAT-2024-0289,CHM 101,General Chemistry I,19.0
MAT-2024-0290,GST 101,Use of English,19.0
MAT-2024-0290,PHY 101,General Physics I,21.8
MAT-2024-0290,CSC 101,Introduction to Computer Science,18.4
MAT-2024-0290,CSC 102,Introduction to Problem Solving,30.0
MAT-2024-0290,BIO 101,General Biology I,23.9
MAT-2024-0290,CHM 102,Practical Chemistry I,23.8
MAT-2024-0290,STA 101,Introductory Statistics,26.4
MAT-2024-0290,MAT 102,General Mathematics II,27.8
MAT-2024-0291,MAT 102,General Mathematics II,10.0
MAT-2024-0291,CHM 102,Practical Chemistry I,17.2
MAT-2024-0292,CHM 102,Practical Chemistry I,17.7
MAT-2024-0292,STA 101,Introductory Statistics,13.0
MAT-2024-0292,PHY 101,General Physics I,16.5
MAT-2024-0292,GST 102,Nigerian Peoples and Culture,8.6
MAT-2024-0292,PHY 102,Practical Physics I,17.8
MAT-2024-0292,CHM 101,General Chemistry I,12.4
MAT-2024-0293,CSC 101,Introduction to Computer Science,14.3
MAT-2024-0293,CSC 102,Introduction to Problem Solving,14.7
MAT-2024-0293,CHM 102,Practical Chemistry I,10.0
MAT-2024-0293,MAT 102,General Mathematics II,12.3
MAT-2024-0293,STA 101,Introductory Statistics,13.0
MAT-2024-0294,GST 101,Use of English,12.9
MAT-2024-0294,PHY 101,General Physics I,24.3
MAT-2024-0294,MAT 102,General Mathematics II,16.6
MAT-2024-0294,CSC 101,Introduction to Computer Science,21.8
MAT-2024-0294,CHM 102,Practical Chemistry I,25.6
MAT-2024-0294,BIO 101,General Biology I,11.4
MAT-2024-0294,MAT 101,General Mathematics I,24.1
MAT-2024-0294,PHY 102,Practical Physics I,29.2
MAT-2024-0294,CHM 101,General Chemistry I,18.9
MAT-2024-0295,STA 101,Introductory Statistics,15.7
MAT-2024-0295,BIO 101,General Biology I,16.3
MAT-2024-0295,GST 102,Nigerian Peoples and Culture,17.2
MAT-2024-0295,CSC 101,Introduction to Computer Science,12.5
MAT-2024-0295,PHY 101,General Physics I,12.9
MAT-2024-0295,CHM 102,Practical Chemistry I,13.2
MAT-2024-0295,PHY 102,Practical Physics I,7.8
MAT-2024-0295,GST 101,Use of English,14.1
MAT-2024-0295,MAT 102,General Mathematics II,12.9
MAT-2024-0295,CHM 101,General Chemistry I,16.7
MAT-2024-0296,PHY 102,Practical Physics I,14.0
MAT-2024-0296,PHY 101,General Physics I,18.0
MAT-2024-0296,CSC 101,Introduction to Computer Science,21.8
MAT-2024-0296,STA 101,Introductory Statistics,19.7
MAT-2024-0296,CSC 102,Introduction to Problem Solving,18.6
MAT-2024-0296,BIO 101,General Biology I,25.1
MAT-2024-0296,GST 101,Use of English,22.0
MAT-2024-0297,GST 102,Nigerian Peoples and Culture,21.4
MAT-2024-0297,STA 101,Introductory Statistics,28.2
MAT-2024-0297,CSC 101,Introduction to Computer Science,21.2
MAT-2024-0297,MAT 102,General Mathematics II,25.7
MAT-2024-0297,CHM 102,Practical Chemistry I,21.0
MAT-2024-0297,PHY 102,Practical Physics I,22.2
MAT-2024-0297,GST 101,Use of English,21.7
MAT-2024-0297,CHM 101,General Chemistry I,26.5
MAT-2024-0297,MAT 101,General Mathematics I,24.8
MAT-2024-0297,CSC 102,Introduction to Problem Solving,24.4
MAT-2024-0297,BIO 101,General Biology I,30.0
MAT-2024-0298,CHM 101,General Chemistry I,21.4
MAT-2024-0298,CSC 101,Introduction to Computer Science,18.5
MAT-2024-0298,CSC 102,Introduction to Problem Solving,28.7
MAT-2024-0299,CSC 102,Introduction to Problem Solving,11.1
MAT-2024-0299,GST 101,Use of English,13.2
MAT-2024-0299,STA 101,Introductory Statistics,8.4
MAT-2024-0299,GST 102,Nigerian Peoples and Culture,8.1
MAT-2024-0299,CHM 101,General Chemistry I,14.9
MAT-2024-0299,PHY 101,General Physics I,10.3
MAT-2024-0300,GST 101,Use of English,12.3
MAT-2024-0300,CHM 102,Practical Chemistry I,1.3
MAT-2024-0300,GST 102,Nigerian Peoples and Culture,12.5
MAT-2024-0300,CHM 101,General Chemistry I,12.0
MAT-2024-0300,CSC 101,Introduction to Computer Science,16.1
MAT-2024-0301,CHM 101,General Chemistry I,30.0
MAT-2024-0301,PHY 102,Practical Physics I,22.4
MAT-2024-0301,GST 102,Nigerian Peoples and Culture,19.3
MAT-2024-0301,PHY 101,General Physics I,19.8
MAT-2024-0301,CHM 102,Practical Chemistry I,23.3
MAT-2024-0301,CSC 101,Introduction to Computer Science,19.4
MAT-2024-0301,MAT 102,General Mathematics II,23.9
MAT-2024-0301,ENG 101,Engineering Mechanics,19.8
MAT-2024-0301,CSC 102,Introduction to Problem Solving,27.3
MAT-2024-0301,STA 101,Introductory Statistics,27.2
MAT-2024-0301,BIO 101,General Biology I,19.1
MAT-2024-0302,CSC 102,Introduction to Problem Solving,17.1
MAT-2024-0302,PHY 102,Practical Physics I,18.0
MAT-2024-0302,STA 101,Introductory Statistics,18.5
MAT-2024-0302,MAT 102,General Mathematics II,12.0
MAT-2024-0302,MAT 101,General Mathematics I,12.2
MAT-2024-0302,GST 102,Nigerian Peoples and Culture,14.2
MAT-2024-0302,BIO 101,General Biology I,21.5
MAT-2024-0302,ENG 101,Engineering Mechanics,11.6
MAT-2024-0302,CHM 101,General Chemistry I,13.5
MAT-2024-0302,CSC 101,Introduction to Computer Science,18.5
MAT-2024-0303,GST 101,Use of English,24.8
MAT-2024-0303,PHY 102,Practical Physics I,27.9
MAT-2024-0303,ENG 101,Engineering Mechanics,20.6
MAT-2024-0303,CSC 102,Introduction to Problem Solving,26.9
MAT-2024-0303,MAT 101,General Mathematics I,22.3
MAT-2024-0303,BIO 101,General Biology I,15.9
MAT-2024-0303,STA 101,Introductory Statistics,29.2
MAT-2024-0303,CHM 101,General Chemistry I,30.0
MAT-2024-0303,CSC 101,Introduction to Computer Science,24.5
MAT-2024-0303,CHM 102,Practical Chemistry I,22.4
MAT-2024-0303,PHY 101,General Physics I,20.9
MAT-2024-0304,MAT 102,General Mathematics II,12.6
MAT-2024-0304,CHM 102,Practical Chemistry I,15.4
MAT-2024-0304,ENG 101,Engineering Mechanics,12.9
MAT-2024-0304,CHM 101,General Chemistry I,16.8
MAT-2024-0305,PHY 101,General Physics I,20.8
MAT-2024-0305,CSC 102,Introduction to Problem Solving,19.9
MAT-2024-0305,MAT 101,General Mathematics I,18.2
MAT-2024-0305,CSC 101,Introduction to Computer Science,19.9
MAT-2024-0305,BIO 101,General Biology I,26.9
MAT-2024-0305,ENG 101,Engineering Mechanics,17.8
MAT-2024-0305,GST 101,Use of English,23.8
MAT-2024-0305,GST 102,Nigerian Peoples and Culture,16.5
MAT-2024-0306,STA 101,Introductory Statistics,23.2
MAT-2024-0306,PHY 102,Practical Physics I,16.9
MAT-2024-0306,CSC 101,Introduction to Computer Science,18.3
MAT-2024-0306,MAT 102,General Mathematics II,25.6
MAT-2024-0307,CSC 102,Introduction to Problem Solving,25.8
MAT-2024-0307,STA 101,Introductory Statistics,24.2
MAT-2024-0307,ENG 101,Engineering Mechanics,20.8
MAT-2024-0307,CSC 101,Introduction to Computer Science,17.2
MAT-2024-0307,MAT 102,General Mathematics II,21.8
MAT-2024-0307,PHY 101,General Physics I,18.3
MAT-2024-0308,GST 101,Use of English,12.6
MAT-2024-0308,BIO 101,General Biology I,15.5
MAT-2024-0308,PHY 101,General Physics I,21.0
MAT-2024-0308,CHM 101,General Chemistry I,18.4
MAT-2024-0308,CSC 102,Introduction to Problem Solving,14.3
MAT-2024-0308,MAT 102,General Mathematics II,25.0
MAT-2024-0309,PHY 101,General Physics I,6.3
MAT-2024-0309,MAT 101,General Mathematics I,16.0
MAT-2024-0309,CHM 101,General Chemistry I,22.9
MAT-2024-0310,PHY 102,Practical Physics I,14.6
MAT-2024-0310,ENG 101,Engineering Mechanics,20.1
MAT-2024-0310,GST 101,Use of English,19.0
MAT-2024-0310,CSC 101,Introduction to Computer Science,22.8
MAT-2024-0310,STA 101,Introductory Statistics,12.5
MAT-2024-0310,GST 102,Nigerian Peoples and Culture,19.5
MAT-2024-0310,PHY 101,General Physics I,17.7
MAT-2024-0311,BIO 101,General Biology I,21.1
MAT-2024-0311,GST 102,Nigerian Peoples and Culture,27.2
MAT-2024-0311,MAT 102,General Mathematics II,13.6
MAT-2024-0312,CHM 101,General Chemistry I,17.1
MAT-2024-0312,BIO 101,General Biology I,10.6
MAT-2024-0312,MAT 101,General Mathematics I,7.7
MAT-2024-0312,PHY 101,General Physics I,6.1
MAT-2024-0312,ENG 101,Engineering Mechanics,18.4
MAT-2024-0312,CSC 102,Introduction to Problem Solving,12.6
MAT-2024-0312,PHY 102,Practical Physics I,14.5
MAT-2024-0312,GST 102,Nigerian Peoples and Culture,11.0
MAT-2024-0313,STA 101,Introductory Statistics,5.9
MAT-2024-0313,MAT 101,General Mathematics I,14.3
MAT-2024-0313,CSC 102,Introduction to Problem Solving,13.9
MAT-2024-0313,CHM 101,General Chemistry I,11.8
MAT-2024-0313,BIO 101,General Biology I,3.5
MAT-2024-0313,GST 102,Nigerian Peoples and Culture,8.9
MAT-2024-0313,CSC 101,Introduction to Computer Science,5.5
MAT-2024-0313,PHY 102,Practical Physics I,15.1
MAT-2024-0313,CHM 102,Practical Chemistry I,8.0
MAT-2024-0313,MAT 102,General Mathematics II,6.0
MAT-2024-0314,CSC 101,Introduction to Computer Science,15.9
MAT-2024-0314,CHM 101,General Chemistry I,11.8
MAT-2024-0314,STA 101,Introductory Statistics,16.4
MAT-2024-0314,ENG 101,Engineering Mechanics,24.6
MAT-2024-0314,CHM 102,Practical Chemistry I,13.9
MAT-2024-0314,MAT 101,General Mathematics I,18.2
MAT-2024-0314,GST 101,Use of English,23.9
MAT-2024-0315,PHY 102,Practical Physics I,16.0
MAT-2024-0316,GST 101,Use of English,17.8
MAT-2024-0316,STA 101,Introductory Statistics,26.4
MAT-2024-0316,GST 102,Nigerian Peoples and Culture,20.1
MAT-2024-0316,CHM 101,General Chemistry I,21.1
MAT-2024-0316,PHY 101,General Physics I,8.8
MAT-2024-0316,ENG 101,Engineering Mechanics,8.7
MAT-2024-0316,PHY 102,Practical Physics I,15.9
MAT-2024-0316,MAT 102,General Mathematics II,11.2
MAT-2024-0316,BIO 101,General Biology I,13.1
MAT-2024-0317,PHY 102,Practical Physics I,11.8
MAT-2024-0317,CHM 102,Practical Chemistry I,11.7
MAT-2024-0317,MAT 102,General Mathematics II,14.8
MAT-2024-0317,PHY 101,General Physics I,3.8
MAT-2024-0317,CSC 101,Introduction to Computer Science,13.2
MAT-2024-0318,ENG 101,Engineering Mechanics,21.0
MAT-2024-0318,STA 101,Introductory Statistics,16.2
MAT-2024-0319,GST 102,Nigerian Peoples and Culture,16.6
MAT-2024-0319,STA 101,Introductory Statistics,10.1
MAT-2024-0319,CSC 101,Introduction to Computer Science,10.5
MAT-2024-0319,GST 101,Use of English,16.8
MAT-2024-0319,MAT 102,General Mathematics II,14.3
MAT-2024-0319,ENG 101,Engineering Mechanics,16.0
MAT-2024-0320,MAT 101,General Mathematics I,17.8
MAT-2024-0320,MAT 102,General Mathematics II,21.8
MAT-2024-0320,CSC 102,Introduction to Problem Solving,15.9
MAT-2024-0320,CSC 101,Introduction to Computer Science,13.7
MAT-2024-0320,STA 101,Introductory Statistics,18.7
MAT-2024-0320,BIO 101,General Biology I,17.6
MAT-2024-0320,CHM 101,General Chemistry I,15.2
MAT-2024-0320,GST 101,Use of English,17.9
MAT-2024-0320,PHY 101,General Physics I,14.4
MAT-2024-0321,GST 102,Nigerian Peoples and Culture,16.5
MAT-2024-0321,CSC 101,Introduction to Computer Science,18.4
MAT-2024-0321,STA 101,Introductory Statistics,17.3
MAT-2024-0321,PHY 102,Practical Physics I,12.9
